Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Macao SAR, China","MAC","109932.447433559(2018)","83.7940896091516(2018)","..","3157724(2018)","24411(2018)","..","28.8269755197973(2017)","..",".."
Most Recent Value,"(Most Recent Value)","Madagascar","MDG","1678.21352922141(2018)","9.8(2017)","..","541290(2018)","10170(2018)","..","10.2158481026334(2018)","2.5(2018)","28(2017)"
Most Recent Value,"(Most Recent Value)","Malawi","MWI","1163.27734095847(2018)","13.7821643919877(2017)","..","10545(2018)","2327(2018)","48.659564238322(2017)","17.0257090988528(2018)","2.5(2018)","46(2017)"
Most Recent Value,"(Most Recent Value)","Malaysia","MYS","28201.0558361188(2018)","81.2010486181174(2018)","2028.503(2017)","60481772(2018)","476733(2018)","51.8905148283825(2016)","12.0296923911387(2018)","..","73(2017)"
Most Recent Value,"(Most Recent Value)","Maldives","MDV","13582.9034687253(2018)","63.1856658848485(2017)","..","1147247(2018)","26789(2018)","57.2981206101706(2011)","19.4636853349787(2014)","2.5(2018)","62(2017)"
Most Recent Value,"(Most Recent Value)","Mali","MLI","2055.62291230398(2018)","13(2017)","..","0(2014)","0(2014)","..","15.8725079086(2017)","3(2018)","38(2017)"
Most Recent Value,"(Most Recent Value)","Malta","MLT","38388.0564121681(2018)","81.6580454874453(2018)","..","2576898(2018)","20903(2018)","..","26.4583249590099(2017)","..","82(2017)"
Most Recent Value,"(Most Recent Value)","Marshall Islands","MHL","3539.56739368279(2018)","38.701162619829(2017)","..","24313(2018)","2244(2018)","48.8868741473805(2016)","17.8142427173058(2018)","3.5(2018)",".."
Most Recent Value,"(Most Recent Value)","Mauritania","MRT","3683.24956965717(2018)","20.80096366143(2017)","..","454435.697242701(2018)","5636.83947213211(2018)","..","..","3(2018)","41(2017)"
Most Recent Value,"(Most Recent Value)","Mauritius","MUS","21074.8130357421(2018)","58.596169704299(2018)","..","1745291(2018)","14940(2018)","36.5088808021811(2012)","19.073085653775(2018)","..","63(2017)"
Most Recent Value,"(Most Recent Value)","Mexico","MEX","18133.7014683237(2018)","65.7726344759233(2018)","..","64569640(2018)","590727(2018)","..","13.0829255322402(2018)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Micronesia, Fed. Sts.","FSM","3152.71540426872(2018)","35.3040528661747(2017)","..","..","..","25.3917802774832(2016)","25.1962751653387(2018)","3.5(2018)","47(2017)"
Most Recent Value,"(Most Recent Value)","Moldova","MDA","6452.29973773782(2018)","76.1245198931608(2017)","77(2017)","1135999(2018)","13590(2018)","31.8856692606523(2016)","17.7128694091957(2018)","2.5(2018)","69(2017)"
Most Recent Value,"(Most Recent Value)","Monaco","MCO","..","97.0529768369275(2017)","..","316(2018)","3(2018)","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Mongolia","MNG","12244.9817276962(2018)","47.1609401961253(2018)","973(2017)","670360(2018)","7777(2018)","..","13.6122286444137(2017)","3(2018)","62(2017)"
Most Recent Value,"(Most Recent Value)","Montenegro","MNE","17314.862367153(2018)","71.51712879353(2018)","67(2018)","565522(2018)","6887(2018)","..","..","..","68(2017)"
Most Recent Value,"(Most Recent Value)","Morocco","MAR","7508.79543448053(2017)","64.8038651924043(2018)","4475(2018)","8132917(2018)","80154(2018)","55.6277203238232(2011)","21.9066144846623(2018)","..","70(2017)"
Most Recent Value,"(Most Recent Value)","Mozambique","MOZ","1295.22490147449(2018)","10(2017)","246.8(2011)","540124(2018)","10479(2018)","..","0.0216255129347697(2018)","2.5(2018)","46(2017)"
Most Recent Value,"(Most Recent Value)","Myanmar","MMR","5922.02335753957(2018)","30.6781831132592(2017)","..","3407788.43290303(2018)","64397.9644896858(2018)","..","6.01706934438347(2017)","2.5(2018)","61(2017)"
Most Recent Value,"(Most Recent Value)","Namibia","NAM","9850.91284831304(2018)","51(2017)","..","602893(2018)","14543(2018)","23.0757673265434(2014)","27.1186804983226(2018)","..","62(2017)"
Most Recent Value,"(Most Recent Value)","Nauru","NRU","14644.6181333778(2018)","57(2017)","..","45457(2018)","842(2018)","..","21.6970490728477(2017)","..",".."
Most Recent Value,"(Most Recent Value)","Nepal","NPL","2741.43637208188(2018)","34(2017)","..","3296953(2018)","71908(2018)","33.8625212320188(2010)","20.7023851877333(2017)","3(2018)","48(2017)"
Most Recent Value,"(Most Recent Value)","Netherlands","NLD","49787.0727543045(2018)","94.7120737217303(2018)","18535(2018)","43996044.579144(2018)","325942.296(2018)","..","23.1003080691354(2017)","..","86(2017)"
Most Recent Value,"(Most Recent Value)","New Caledonia","NCL","..","82.0058408035186(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","New Zealand","NZL","36351.5747263046(2018)","90.8110930723827(2017)","..","17249049.9541367(2018)","187851(2018)","42.4222699429698(2016)","28.3187991275222(2018)","..","87(2017)"
Most Recent Value,"(Most Recent Value)","Nicaragua","NIC","4910.05064275522(2018)","27.8630400087748(2017)","..","..","..","..","15.5885863339059(2018)","2.5(2018)","73(2017)"
Most Recent Value,"(Most Recent Value)","Niger","NER","943.599332965419(2018)","5.25048768669473(2018)","..","14713(2017)","471(2017)","..","..","3(2018)","37(2017)"
Most Recent Value,"(Most Recent Value)","Nigeria","NGA","5315.82318062623(2018)","42(2017)","..","8169192.31(2018)","77482.726523888(2018)","..","..","3(2018)","42(2017)"
Most Recent Value,"(Most Recent Value)","North Macedonia","MKD","13483.4534646178(2018)","79.1677551850871(2018)","63.232(2018)","..","..","..","17.5901075917602(2018)","..","72(2017)"
Most Recent Value,"(Most Recent Value)","Northern Mariana Islands","MNP","..","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Norway","NOR","65389.176978653(2018)","96.4916579887094(2018)","3096(2017)","..","..","..","23.8617503950879(2018)","..","87(2017)"
Most Recent Value,"(Most Recent Value)","Oman","OMN","37143.3092089262(2018)","80.185635733257(2017)","..","10438241(2018)","76672(2018)","..","..","..","69(2017)"
Most Recent Value,"(Most Recent Value)","Pakistan","PAK","4939.78001670791(2018)","15.51(2017)","24903(2018)","6880637(2018)","48542(2018)","..","..","3(2018)","45(2017)"
